state,current_date,cumulative_var1_at_current_date,cumulative_var2_at_current_date,day_since_policy1,day_since_policy2,day_since_policy3,day_since_policy4,outcome_var,cat_var_Sector,num_var_Sector,cat_var2,key_cat_var1,econ_var4,econ_var3
AK,2/24/2020,0,0,-23,-16,-33,-33,-0.000865475,B,79.3,No,No,6,73181
AL,2/24/2020,0,0,-23,-18,nan,-40,-0.015547428,B,393.5,No,No,2.7,48123
AR,2/24/2020,0,0,-23,-16,nan,nan,-0.000865475,A,253.2,No,No,3.5,45869
AZ,2/24/2020,1,0,-23,-16,nan,-36,0.08116215,A,551.3,No,Yes,4.5,56581
CA,2/24/2020,11,0,-23,-9,-24,-24,-0.001722749,A,"3,062.50",Yes,Yes,3.9,71805
CO,2/24/2020,0,0,-23,-16,-31,-31,0.025333116,A,481.5,No,No,2.5,69117
CT,2/24/2020,0,0,-23,-15,-28,-28,0.008058908,C,345.1,Yes,Yes,3.7,74168
DC,2/24/2020,0,0,-23,-16,-30,-37,-0.158809532,B,239.7,Yes,Yes,5.2,82372
DE,2/24/2020,0,0,-23,-18,-29,-29,0.022112283,A,82.8,No,No,4,62852
FL,2/24/2020,0,0,-23,-14,nan,-39,-0.02101508,A,"1,823.00",No,No,2.8,52594
GA,2/24/2020,0,0,-23,-19,nan,-39,-0.066709481,A,954.3,No,No,3.1,56183
HI,2/24/2020,0,0,-23,-9,-30,-30,0.19319895,D,127.6,No,No,2.7,77765
IA,2/24/2020,0,0,-23,-22,nan,nan,0.091849596,A,308.2,No,No,2.8,58570
ID,2/24/2020,0,0,-23,-18,-30,-30,0.071415219,A,145.7,No,No,2.8,52225
IL,2/24/2020,2,0,-23,-14,-26,-26,-0.030447431,A,1206.2,No,No,3.5,62992
IN,2/24/2020,0,0,-23,-11,-30,-30,0.039206746,A,602,No,No,3.1,54181
KS,2/24/2020,0,0,-23,-17,nan,-35,-0.058977677,A,268.2,No,No,3.1,56422
KY,2/24/2020,0,0,-23,-11,-31,-31,0.007134754,A,400.8,No,No,4.3,48375
LA,2/24/2020,0,0,-23,-16,-28,-28,0.25670339,A,378.1,No,No,5.1,46145
MA,2/24/2020,1,0,-23,-15,-29,-29,-0.029161506,C,824.2,Yes,Yes,2.8,77385
MD,2/24/2020,0,0,-23,-10,-28,-35,0.051079171,B,504.2,No,Yes,3.3,80776
ME,2/24/2020,0,0,-23,-20,-30,-37,0.15972735,C,130.2,No,No,3.1,56277
MI,2/24/2020,0,0,-23,-37,-28,-29,0.032785704,A,805.6,No,No,3.8,54909
MN,2/24/2020,0,0,-23,-18,nan,-33,0.150866813,C,549.1,No,No,3.2,68388
MO,2/24/2020,0,0,-23,-18,nan,-42,-0.112989557,A,543.1,No,No,3.5,53578
MS,2/24/2020,0,0,-23,-19,-39,-39,0.057265562,B,243.7,No,No,5.5,43529
MT,2/24/2020,0,0,-23,-17,-33,-33,0.044322326,A,96,No,No,3.5,53386
NC,2/24/2020,0,0,-23,-15,-35,-35,-0.071599821,A,851.5,No,No,3.6,52752
ND,2/24/2020,0,0,-23,-18,nan,nan,0.186342456,A,92.8,No,No,2.3,61843
NE,2/24/2020,12,0,-23,-18,nan,nan,0.052148005,A,198.6,No,No,3.9,59970
NH,2/24/2020,0,0,-23,-18,-33,-33,0.386672623,A,138.5,No,No,2.6,73381
NJ,2/24/2020,0,0,-23,-14,-26,-26,-0.015711722,A,893.7,Yes,Yes,3.8,80088
NM,2/24/2020,0,0,-23,-16,-29,-29,0.109974455,B,189.7,No,No,4.8,46744
NV,2/24/2020,0,0,-23,-17,nan,-36,0.130109488,D,356.4,No,No,3.6,58003
NY,2/24/2020,0,0,-23,-12,-27,-27,-0.017105439,B,"1,488.10",Yes,Yes,3.8,64894
OH,2/24/2020,0,0,-23,-14,-29,-29,0.009714077,A,"1,028.40",No,No,4.1,54021
OK,2/24/2020,0,0,-23,-38,-37,nan,-0.041407916,B,356.6,No,No,3.3,50051
OR,2/24/2020,0,0,-23,-13,nan,-28,0.057354552,A,359.3,Yes,Yes,3.3,60212
PA,2/24/2020,0,0,-23,-11,-28,-37,0.038117206,C,1307,No,No,4.7,59195
RI,2/24/2020,0,0,-23,-14,nan,-33,0.00360972,C,110.7,Yes,Yes,3.1,19343
SC,2/24/2020,0,0,-23,-18,nan,-43,-0.112903246,A,410.6,No,No,2.4,63870
SD,2/24/2020,0,0,-23,-38,nan,nan,0.004082308,A,86.3,No,No,3.4,50570
TN,2/24/2020,0,0,-23,-17,-37,-38,3.71E-04,A,653.1,No,No,3.3,56521
TX,2/24/2020,10,0,-23,-18,nan,-38,-0.001176031,A,"2,549.20",No,No,4.5,51340
UT,2/24/2020,0,0,-23,-11,nan,-32,-0.023699213,A,295.2,No,No,2.5,59206
VA,2/24/2020,0,0,-23,-17,nan,-35,-0.018633032,E,779.6,No,No,2.7,57513
VT,2/24/2020,0,0,-23,-18,-30,-29,0.12804074,C,65.4,No,Yes,2.4,68358
WA,2/24/2020,5,0,-23,-5,-30,-28,-0.015257028,A,654.7,Yes,Yes,3.9,71535
WI,2/24/2020,1,0,-23,-17,-30,-30,0.170020664,F,484.2,No,No,3.5,43469
WV,2/24/2020,0,0,-23,-21,-29,-29,0.106705685,B,152.1,No,No,5,70979
WY,2/24/2020,0,0,-23,-18,nan,nan,0.024295919,A,532.8,No,No,3.7,59305
AK,2/25/2020,0,0,-22,-15,-32,-32,0.095012716,B,79.3,No,No,6,73181
AL,2/25/2020,0,0,-22,-17,nan,-39,0.157093549,B,393.5,No,No,2.7,48123
AR,2/25/2020,0,0,-22,-15,nan,nan,0.028310235,A,253.2,No,No,3.5,45869
AZ,2/25/2020,1,0,-22,-15,nan,-35,0.143967777,A,551.3,No,Yes,4.5,56581
CA,2/25/2020,11,0,-22,-8,-23,-23,-0.220097887,A,"3,062.50",Yes,Yes,3.9,71805
CO,2/25/2020,0,0,-22,-15,-30,-30,-0.003376916,A,481.5,No,No,2.5,69117
CT,2/25/2020,0,0,-22,-14,-27,-27,0.028198758,C,345.1,Yes,Yes,3.7,74168
DC,2/25/2020,0,0,-22,-15,-29,-36,0.008260234,B,239.7,Yes,Yes,5.2,82372
DE,2/25/2020,0,0,-22,-17,-28,-28,-0.028623532,A,82.8,No,No,4,62852
FL,2/25/2020,0,0,-22,-13,nan,-38,0.025236494,A,"1,823.00",No,No,2.8,52594
GA,2/25/2020,0,0,-22,-18,nan,-38,0.083643348,A,954.3,No,No,3.1,56183
HI,2/25/2020,0,0,-22,-8,-29,-29,-0.056948749,D,127.6,No,No,2.7,77765
IA,2/25/2020,0,0,-22,-21,nan,nan,0.051358396,A,308.2,No,No,2.8,58570
ID,2/25/2020,0,0,-22,-17,-29,-29,0.284586503,A,145.7,No,No,2.8,52225
IL,2/25/2020,2,0,-22,-13,-25,-25,-0.094861138,A,1206.2,No,No,3.5,62992
IN,2/25/2020,0,0,-22,-10,-29,-29,-0.024512899,A,602,No,No,3.1,54181
KS,2/25/2020,0,0,-22,-16,nan,-34,-0.049122689,A,268.2,No,No,3.1,56422
KY,2/25/2020,0,0,-22,-10,-30,-30,0.081028867,A,400.8,No,No,4.3,48375
LA,2/25/2020,0,0,-22,-15,-27,-27,0.194898954,A,378.1,No,No,5.1,46145
MA,2/25/2020,1,0,-22,-14,-28,-28,-0.011657493,C,824.2,Yes,Yes,2.8,77385
MD,2/25/2020,0,0,-22,-9,-27,-34,0.008958842,B,504.2,No,Yes,3.3,80776
ME,2/25/2020,0,0,-22,-19,-29,-36,0.075170012,C,130.2,No,No,3.1,56277
MI,2/25/2020,0,0,-22,-36,-27,-28,-0.0005283,A,805.6,No,No,3.8,54909
MN,2/25/2020,0,0,-22,-17,nan,-32,0.14181199,C,549.1,No,No,3.2,68388
MO,2/25/2020,0,0,-22,-17,nan,-41,0.004775291,A,543.1,No,No,3.5,53578
MS,2/25/2020,0,0,-22,-18,-38,-38,0.18290543,B,243.7,No,No,5.5,43529
MT,2/25/2020,0,0,-22,-16,-32,-32,0.26587575,A,96,No,No,3.5,53386
NC,2/25/2020,0,0,-22,-14,-34,-34,0.054101003,A,851.5,No,No,3.6,52752
ND,2/25/2020,0,0,-22,-17,nan,nan,0.338984552,A,92.8,No,No,2.3,61843
NE,2/25/2020,13,0,-22,-17,nan,nan,0.095407528,A,198.6,No,No,3.9,59970
NH,2/25/2020,0,0,-22,-17,-32,-32,0.300960801,A,138.5,No,No,2.6,73381
NJ,2/25/2020,0,0,-22,-13,-25,-25,-0.007485324,A,893.7,Yes,Yes,3.8,80088
NM,2/25/2020,0,0,-22,-15,-28,-28,0.323210637,B,189.7,No,No,4.8,46744
NV,2/25/2020,0,0,-22,-16,nan,-35,0.154927197,D,356.4,No,No,3.6,58003
NY,2/25/2020,0,0,-22,-11,-26,-26,0.002413675,B,"1,488.10",Yes,Yes,3.8,64894
OH,2/25/2020,0,0,-22,-13,-28,-28,0.069580197,A,"1,028.40",No,No,4.1,54021
OK,2/25/2020,0,0,-22,-37,-36,nan,-0.003822177,B,356.6,No,No,3.3,50051
OR,2/25/2020,0,0,-22,-12,nan,-27,0.142925911,A,359.3,Yes,Yes,3.3,60212
PA,2/25/2020,0,0,-22,-10,-27,-36,0.067826169,C,1307,No,No,4.7,59195
RI,2/25/2020,0,0,-22,-13,nan,-32,0.079025077,C,110.7,Yes,Yes,3.1,19343
SC,2/25/2020,0,0,-22,-17,nan,-42,0.029529875,A,410.6,No,No,2.4,63870
SD,2/25/2020,0,0,-22,-37,nan,nan,-0.075120503,A,86.3,No,No,3.4,50570
TN,2/25/2020,0,0,-22,-16,-36,-37,0.169723195,A,653.1,No,No,3.3,56521
TX,2/25/2020,10,0,-22,-17,nan,-37,0.141415855,A,"2,549.20",No,No,4.5,51340
UT,2/25/2020,1,0,-22,-10,nan,-31,0.202563161,A,295.2,No,No,2.5,59206
VA,2/25/2020,0,0,-22,-16,nan,-34,0.062659288,E,779.6,No,No,2.7,57513
VT,2/25/2020,0,0,-22,-17,-29,-28,0.193848797,C,65.4,No,Yes,2.4,68358
WA,2/25/2020,5,0,-22,-4,-29,-27,0.110608133,A,654.7,Yes,Yes,3.9,71535
WI,2/25/2020,1,0,-22,-16,-29,-29,0.02222005,F,484.2,No,No,3.5,43469
WV,2/25/2020,0,0,-22,-20,-28,-28,0.055648866,B,152.1,No,No,5,70979
WY,2/25/2020,0,0,-22,-17,nan,nan,-0.040681485,A,532.8,No,No,3.7,59305
AK,2/26/2020,0,0,-21,-14,-31,-31,0.294578811,B,79.3,No,No,6,73181
AL,2/26/2020,0,0,-21,-16,nan,-38,0.26843146,B,393.5,No,No,2.7,48123
AR,2/26/2020,0,0,-21,-14,nan,nan,0.24869142,A,253.2,No,No,3.5,45869
AZ,2/26/2020,1,0,-21,-14,nan,-34,0.179868716,A,551.3,No,Yes,4.5,56581
CA,2/26/2020,26,0,-21,-7,-22,-22,-0.065118705,A,"3,062.50",Yes,Yes,3.9,71805
CO,2/26/2020,0,0,-21,-14,-29,-29,0.241771723,A,481.5,No,No,2.5,69117
CT,2/26/2020,0,0,-21,-13,-26,-26,0.078685728,C,345.1,Yes,Yes,3.7,74168
DC,2/26/2020,0,0,-21,-14,-28,-35,0.403723067,B,239.7,Yes,Yes,5.2,82372
DE,2/26/2020,0,0,-21,-16,-27,-27,0.107924057,A,82.8,No,No,4,62852
FL,2/26/2020,0,0,-21,-12,nan,-37,-3.88E-04,A,"1,823.00",No,No,2.8,52594
GA,2/26/2020,0,0,-21,-17,nan,-37,0.175500451,A,954.3,No,No,3.1,56183
HI,2/26/2020,0,0,-21,-7,-28,-28,-0.181303523,D,127.6,No,No,2.7,77765
IA,2/26/2020,0,0,-21,-20,nan,nan,0.273879765,A,308.2,No,No,2.8,58570
ID,2/26/2020,0,0,-21,-16,-28,-28,0.405928893,A,145.7,No,No,2.8,52225
IL,2/26/2020,2,0,-21,-12,-24,-24,0.111989038,A,1206.2,No,No,3.5,62992
IN,2/26/2020,0,0,-21,-9,-28,-28,-0.046322054,A,602,No,No,3.1,54181
KS,2/26/2020,0,0,-21,-15,nan,-33,0.31420735,A,268.2,No,No,3.1,56422
KY,2/26/2020,0,0,-21,-9,-29,-29,0.13451839,A,400.8,No,No,4.3,48375
LA,2/26/2020,0,0,-21,-14,-26,-26,0.74726366,A,378.1,No,No,5.1,46145
MA,2/26/2020,1,0,-21,-13,-27,-27,0.041587209,C,824.2,Yes,Yes,2.8,77385
MD,2/26/2020,0,0,-21,-8,-26,-33,0.100871946,B,504.2,No,Yes,3.3,80776
ME,2/26/2020,0,0,-21,-18,-28,-35,0.038996638,C,130.2,No,No,3.1,56277
MI,2/26/2020,0,0,-21,-35,-26,-27,-0.34163203,A,805.6,No,No,3.8,54909
MN,2/26/2020,0,0,-21,-16,nan,-31,0.348500135,C,549.1,No,No,3.2,68388
MO,2/26/2020,0,0,-21,-16,nan,-40,0.194080445,A,543.1,No,No,3.5,53578
MS,2/26/2020,0,0,-21,-17,-37,-37,0.449638224,B,243.7,No,No,5.5,43529
MT,2/26/2020,0,0,-21,-15,-31,-31,0.49282135,A,96,No,No,3.5,53386
NC,2/26/2020,0,0,-21,-13,-33,-33,0.182388486,A,851.5,No,No,3.6,52752
ND,2/26/2020,0,0,-21,-16,nan,nan,0.718499683,A,92.8,No,No,2.3,61843
NE,2/26/2020,13,0,-21,-16,nan,nan,0.394230399,A,198.6,No,No,3.9,59970
NH,2/26/2020,0,0,-21,-16,-31,-31,0.261354099,A,138.5,No,No,2.6,73381
NJ,2/26/2020,0,0,-21,-12,-24,-24,0.023721429,A,893.7,Yes,Yes,3.8,80088
NM,2/26/2020,0,0,-21,-14,-27,-27,0.476610687,B,189.7,No,No,4.8,46744
NV,2/26/2020,0,0,-21,-15,nan,-34,0.337998266,D,356.4,No,No,3.6,58003
NY,2/26/2020,0,0,-21,-10,-25,-25,0.004167228,B,"1,488.10",Yes,Yes,3.8,64894
OH,2/26/2020,0,0,-21,-12,-27,-27,0.070745415,A,"1,028.40",No,No,4.1,54021
OK,2/26/2020,0,0,-21,-36,-35,nan,0.205378415,B,356.6,No,No,3.3,50051
OR,2/26/2020,0,0,-21,-11,nan,-26,0.256524088,A,359.3,Yes,Yes,3.3,60212
PA,2/26/2020,0,0,-21,-9,-26,-35,0.120550706,C,1307,No,No,4.7,59195
RI,2/26/2020,0,0,-21,-12,nan,-31,0.093843522,C,110.7,Yes,Yes,3.1,19343
SC,2/26/2020,0,0,-21,-16,nan,-41,0.220019524,A,410.6,No,No,2.4,63870
SD,2/26/2020,0,0,-21,-36,nan,nan,0.692711509,A,86.3,No,No,3.4,50570
TN,2/26/2020,0,0,-21,-15,-35,-36,0.198455051,A,653.1,No,No,3.3,56521
TX,2/26/2020,10,0,-21,-16,nan,-36,0.291303745,A,"2,549.20",No,No,4.5,51340
UT,2/26/2020,1,0,-21,-9,nan,-30,0.253028735,A,295.2,No,No,2.5,59206
VA,2/26/2020,0,0,-21,-15,nan,-33,0.135022062,E,779.6,No,No,2.7,57513
VT,2/26/2020,0,0,-21,-16,-28,-27,0.208661456,C,65.4,No,Yes,2.4,68358
WA,2/26/2020,5,0,-21,-3,-28,-26,0.275191145,A,654.7,Yes,Yes,3.9,71535
WI,2/26/2020,1,0,-21,-15,-28,-28,0.224501726,F,484.2,No,No,3.5,43469
WV,2/26/2020,0,0,-21,-19,-27,-27,0.080938113,B,152.1,No,No,5,70979
WY,2/26/2020,0,0,-21,-16,nan,nan,0.495474926,A,532.8,No,No,3.7,59305
AK,2/27/2020,0,0,-20,-13,-30,-30,0.348700538,B,79.3,No,No,6,73181
AL,2/27/2020,0,0,-20,-15,nan,-37,0.254455166,B,393.5,No,No,2.7,48123
AR,2/27/2020,0,0,-20,-13,nan,nan,0.133069784,A,253.2,No,No,3.5,45869
AZ,2/27/2020,1,0,-20,-13,nan,-33,0.104370502,A,551.3,No,Yes,4.5,56581
CA,2/27/2020,26,0,-20,-6,-21,-21,0.038696715,A,"3,062.50",Yes,Yes,3.9,71805
CO,2/27/2020,0,0,-20,-13,-28,-28,0.150631051,A,481.5,No,No,2.5,69117
CT,2/27/2020,0,0,-20,-12,-25,-25,0.03486358,C,345.1,Yes,Yes,3.7,74168
DC,2/27/2020,0,0,-20,-13,-27,-34,0.357946773,B,239.7,Yes,Yes,5.2,82372
DE,2/27/2020,0,0,-20,-15,-26,-26,0.141940054,A,82.8,No,No,4,62852
FL,2/27/2020,0,0,-20,-11,nan,-36,0.134196386,A,"1,823.00",No,No,2.8,52594
GA,2/27/2020,0,0,-20,-16,nan,-36,0.299681925,A,954.3,No,No,3.1,56183
HI,2/27/2020,0,0,-20,-6,-27,-27,-0.04753343,D,127.6,No,No,2.7,77765
IA,2/27/2020,0,0,-20,-19,nan,nan,0.327676731,A,308.2,No,No,2.8,58570
ID,2/27/2020,0,0,-20,-15,-27,-27,0.309489185,A,145.7,No,No,2.8,52225
IL,2/27/2020,2,0,-20,-11,-23,-23,0.217608683,A,1206.2,No,No,3.5,62992
IN,2/27/2020,0,0,-20,-8,-27,-27,0.191513273,A,602,No,No,3.1,54181
KS,2/27/2020,0,0,-20,-14,nan,-32,0.249107483,A,268.2,No,No,3.1,56422
KY,2/27/2020,0,0,-20,-8,-28,-28,0.038727502,A,400.8,No,No,4.3,48375
LA,2/27/2020,0,0,-20,-13,-25,-25,0.201104247,A,378.1,No,No,5.1,46145
MA,2/27/2020,1,0,-20,-12,-26,-26,0.074250368,C,824.2,Yes,Yes,2.8,77385
MD,2/27/2020,0,0,-20,-7,-25,-32,0.108730149,B,504.2,No,Yes,3.3,80776
ME,2/27/2020,0,0,-20,-17,-27,-34,-0.288904686,C,130.2,No,No,3.1,56277
MI,2/27/2020,0,0,-20,-34,-25,-26,0.047456732,A,805.6,No,No,3.8,54909
MN,2/27/2020,0,0,-20,-15,nan,-30,0.258501376,C,549.1,No,No,3.2,68388
MO,2/27/2020,0,0,-20,-15,nan,-39,0.135339007,A,543.1,No,No,3.5,53578
MS,2/27/2020,0,0,-20,-16,-36,-36,0.273539397,B,243.7,No,No,5.5,43529
MT,2/27/2020,0,0,-20,-14,-30,-30,0.397193723,A,96,No,No,3.5,53386
NC,2/27/2020,0,0,-20,-12,-32,-32,0.427195904,A,851.5,No,No,3.6,52752
ND,2/27/2020,0,0,-20,-15,nan,nan,0.523474019,A,92.8,No,No,2.3,61843
NE,2/27/2020,13,0,-20,-15,nan,nan,0.24431095,A,198.6,No,No,3.9,59970
NH,2/27/2020,0,0,-20,-15,-30,-30,0.091148168,A,138.5,No,No,2.6,73381
NJ,2/27/2020,0,0,-20,-11,-23,-23,0.086167056,A,893.7,Yes,Yes,3.8,80088
NM,2/27/2020,0,0,-20,-13,-26,-26,0.262770918,B,189.7,No,No,4.8,46744
NV,2/27/2020,0,0,-20,-14,nan,-33,0.15389548,D,356.4,No,No,3.6,58003
NY,2/27/2020,0,0,-20,-9,-24,-24,-0.067296762,B,"1,488.10",Yes,Yes,3.8,64894
OH,2/27/2020,0,0,-20,-11,-26,-26,0.024138345,A,"1,028.40",No,No,4.1,54021
OK,2/27/2020,0,0,-20,-35,-34,nan,0.2068708,B,356.6,No,No,3.3,50051
OR,2/27/2020,0,0,-20,-10,nan,-25,0.181001305,A,359.3,Yes,Yes,3.3,60212
PA,2/27/2020,0,0,-20,-8,-25,-34,0.079984288,C,1307,No,No,4.7,59195
RI,2/27/2020,0,0,-20,-11,nan,-30,0.120990124,C,110.7,Yes,Yes,3.1,19343
SC,2/27/2020,0,0,-20,-15,nan,-40,0.42621289,A,410.6,No,No,2.4,63870
SD,2/27/2020,0,0,-20,-35,nan,nan,0.432697599,A,86.3,No,No,3.4,50570
TN,2/27/2020,0,0,-20,-14,-34,-35,0.206136442,A,653.1,No,No,3.3,56521
TX,2/27/2020,10,0,-20,-15,nan,-35,0.18009851,A,"2,549.20",No,No,4.5,51340
UT,2/27/2020,1,0,-20,-8,nan,-29,0.18326812,A,295.2,No,No,2.5,59206
VA,2/27/2020,0,0,-20,-14,nan,-32,0.230781551,E,779.6,No,No,2.7,57513
VT,2/27/2020,0,0,-20,-15,-27,-26,-0.092786365,C,65.4,No,Yes,2.4,68358
WA,2/27/2020,5,0,-20,-2,-27,-25,0.202428801,A,654.7,Yes,Yes,3.9,71535
WI,2/27/2020,1,0,-20,-14,-27,-27,0.321753753,F,484.2,No,No,3.5,43469
WV,2/27/2020,0,0,-20,-18,-26,-26,-0.038218247,B,152.1,No,No,5,70979
WY,2/27/2020,0,0,-20,-15,nan,nan,0.413556854,A,532.8,No,No,3.7,59305
AK,2/28/2020,0,0,-19,-12,-29,-29,0.319825962,B,79.3,No,No,6,73181
AL,2/28/2020,0,0,-19,-14,nan,-36,0.179856619,B,393.5,No,No,2.7,48123
AR,2/28/2020,0,0,-19,-12,nan,nan,0.260598571,A,253.2,No,No,3.5,45869
AZ,2/28/2020,1,0,-19,-12,nan,-32,0.185103006,A,551.3,No,Yes,4.5,56581
CA,2/28/2020,27,0,-19,-5,-20,-20,0.167983504,A,"3,062.50",Yes,Yes,3.9,71805
CO,2/28/2020,0,0,-19,-12,-27,-27,0.22394524,A,481.5,No,No,2.5,69117
CT,2/28/2020,0,0,-19,-11,-24,-24,0.20267918,C,345.1,Yes,Yes,3.7,74168
DC,2/28/2020,0,0,-19,-12,-26,-33,-0.117386847,B,239.7,Yes,Yes,5.2,82372
DE,2/28/2020,0,0,-19,-14,-25,-25,0.414122293,A,82.8,No,No,4,62852
FL,2/28/2020,0,0,-19,-10,nan,-35,0.190610802,A,"1,823.00",No,No,2.8,52594
GA,2/28/2020,0,0,-19,-15,nan,-35,0.154504219,A,954.3,No,No,3.1,56183
HI,2/28/2020,0,0,-19,-5,-26,-26,0.223441128,D,127.6,No,No,2.7,77765
IA,2/28/2020,0,0,-19,-18,nan,nan,0.325708513,A,308.2,No,No,2.8,58570
ID,2/28/2020,0,0,-19,-14,-26,-26,0.451893185,A,145.7,No,No,2.8,52225
IL,2/28/2020,2,0,-19,-10,-22,-22,0.263567202,A,1206.2,No,No,3.5,62992
IN,2/28/2020,0,0,-19,-7,-26,-26,0.257039239,A,602,No,No,3.1,54181
KS,2/28/2020,0,0,-19,-13,nan,-31,0.240510593,A,268.2,No,No,3.1,56422
KY,2/28/2020,0,0,-19,-7,-27,-27,0.160466669,A,400.8,No,No,4.3,48375
LA,2/28/2020,0,0,-19,-12,-24,-24,0.211954668,A,378.1,No,No,5.1,46145
MA,2/28/2020,1,0,-19,-11,-25,-25,0.145446989,C,824.2,Yes,Yes,2.8,77385
MD,2/28/2020,0,0,-19,-6,-24,-31,0.198400249,B,504.2,No,Yes,3.3,80776
ME,2/28/2020,0,0,-19,-16,-26,-33,0.267903859,C,130.2,No,No,3.1,56277
MI,2/28/2020,0,0,-19,-33,-24,-25,0.273155531,A,805.6,No,No,3.8,54909
MN,2/28/2020,0,0,-19,-14,nan,-29,0.259437215,C,549.1,No,No,3.2,68388
MO,2/28/2020,0,0,-19,-14,nan,-38,0.186181589,A,543.1,No,No,3.5,53578
MS,2/28/2020,0,0,-19,-15,-35,-35,0.230883582,B,243.7,No,No,5.5,43529
MT,2/28/2020,0,0,-19,-13,-29,-29,0.653948566,A,96,No,No,3.5,53386
NC,2/28/2020,0,0,-19,-11,-31,-31,0.362978916,A,851.5,No,No,3.6,52752
ND,2/28/2020,0,0,-19,-14,nan,nan,0.473496963,A,92.8,No,No,2.3,61843
NE,2/28/2020,13,0,-19,-14,nan,nan,0.269807747,A,198.6,No,No,3.9,59970
NH,2/28/2020,0,0,-19,-14,-29,-29,0.131480877,A,138.5,No,No,2.6,73381
NJ,2/28/2020,0,0,-19,-10,-22,-22,0.197366351,A,893.7,Yes,Yes,3.8,80088
NM,2/28/2020,0,0,-19,-12,-25,-25,0.291812988,B,189.7,No,No,4.8,46744
NV,2/28/2020,0,0,-19,-13,nan,-32,0.265544414,D,356.4,No,No,3.6,58003
NY,2/28/2020,0,0,-19,-8,-23,-23,-0.004380717,B,"1,488.10",Yes,Yes,3.8,64894
OH,2/28/2020,0,0,-19,-10,-25,-25,0.172687283,A,"1,028.40",No,No,4.1,54021
OK,2/28/2020,0,0,-19,-34,-33,nan,0.239261363,B,356.6,No,No,3.3,50051
OR,2/28/2020,1,0,-19,-9,nan,-24,0.299251415,A,359.3,Yes,Yes,3.3,60212
PA,2/28/2020,0,0,-19,-7,-24,-33,0.239251172,C,1307,No,No,4.7,59195
RI,2/28/2020,0,0,-19,-10,nan,-29,0.154625699,C,110.7,Yes,Yes,3.1,19343
SC,2/28/2020,0,0,-19,-14,nan,-39,0.27056435,A,410.6,No,No,2.4,63870
SD,2/28/2020,0,0,-19,-34,nan,nan,0.287796191,A,86.3,No,No,3.4,50570
TN,2/28/2020,0,0,-19,-13,-33,-34,0.186155007,A,653.1,No,No,3.3,56521
TX,2/28/2020,11,0,-19,-14,nan,-34,0.178234856,A,"2,549.20",No,No,4.5,51340
UT,2/28/2020,1,0,-19,-7,nan,-28,0.268532446,A,295.2,No,No,2.5,59206
VA,2/28/2020,0,0,-19,-13,nan,-31,0.249182633,E,779.6,No,No,2.7,57513
VT,2/28/2020,0,0,-19,-14,-26,-25,0.14087229,C,65.4,No,Yes,2.4,68358
WA,2/28/2020,7,0,-19,-1,-26,-24,0.296443038,A,654.7,Yes,Yes,3.9,71535
WI,2/28/2020,1,0,-19,-13,-26,-26,0.310698102,F,484.2,No,No,3.5,43469
WV,2/28/2020,0,0,-19,-17,-25,-25,0.139961819,B,152.1,No,No,5,70979
WY,2/28/2020,0,0,-19,-14,nan,nan,0.54219741,A,532.8,No,No,3.7,59305
AK,2/29/2020,0,0,-18,-11,-28,-28,0.076706171,B,79.3,No,No,6,73181
AL,2/29/2020,0,0,-18,-13,nan,-35,0.246263358,B,393.5,No,No,2.7,48123
AR,2/29/2020,0,0,-18,-11,nan,nan,0.321048789,A,253.2,No,No,3.5,45869
AZ,2/29/2020,1,0,-18,-11,nan,-31,0.255359228,A,551.3,No,Yes,4.5,56581
CA,2/29/2020,28,0,-18,-4,-19,-19,0.094492273,A,"3,062.50",Yes,Yes,3.9,71805
CO,2/29/2020,0,0,-18,-11,-26,-26,0.027193337,A,481.5,No,No,2.5,69117
CT,2/29/2020,0,0,-18,-10,-23,-23,0.105783569,C,345.1,Yes,Yes,3.7,74168
DC,2/29/2020,0,0,-18,-11,-25,-32,0.045305487,B,239.7,Yes,Yes,5.2,82372
DE,2/29/2020,0,0,-18,-13,-24,-24,0.084791423,A,82.8,No,No,4,62852
FL,2/29/2020,0,0,-18,-9,nan,-34,0.118367074,A,"1,823.00",No,No,2.8,52594
GA,2/29/2020,0,0,-18,-14,nan,-34,0.20507934,A,954.3,No,No,3.1,56183
HI,2/29/2020,0,0,-18,-4,-25,-25,0.044775322,D,127.6,No,No,2.7,77765
IA,2/29/2020,0,0,-18,-17,nan,nan,0.292727644,A,308.2,No,No,2.8,58570
ID,2/29/2020,0,0,-18,-13,-25,-25,0.312657534,A,145.7,No,No,2.8,52225
IL,2/29/2020,3,0,-18,-9,-21,-21,0.208835843,A,1206.2,No,No,3.5,62992
IN,2/29/2020,0,0,-18,-6,-25,-25,0.227038676,A,602,No,No,3.1,54181
KS,2/29/2020,0,0,-18,-12,nan,-30,0.200340617,A,268.2,No,No,3.1,56422
KY,2/29/2020,0,0,-18,-6,-26,-26,0.175095345,A,400.8,No,No,4.3,48375
LA,2/29/2020,0,0,-18,-11,-23,-23,0.272137238,A,378.1,No,No,5.1,46145
MA,2/29/2020,1,0,-18,-10,-24,-24,0.036960624,C,824.2,Yes,Yes,2.8,77385
MD,2/29/2020,0,0,-18,-5,-23,-30,0.083437498,B,504.2,No,Yes,3.3,80776
